time,concentration_storage1,concentration_storage2,concentration_storage3,connector_1.HQUp.Q,connector_1.flux_q1_s1,connector_1_M_Up,connector_2.HQUp.Q,connector_2.flux_q1_s1,connector_2_M_Up,storage1.MForcing[2],storage1.MForcing[4],storage1.V,storage1_mforcing_ZSF,storage1_qforcing_ZSF,storage1_qforcing_advective,storage2.MForcing[2],storage2.V,storage2_H,storage3.MForcing[2],storage3.MForcing[4],storage3.V,storage3_H,storage3_mforcing_ZSF,storage3_qforcing_ZSF,storage3_qforcing_advective
2013-01-01 00:00:00,1.000000,1.000000,1.000000,0.000000,181.983599,0.000000,0.000000,181.983599,0.000000,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,0.000000
2013-01-01 00:01:00,1.000000,1.000000,1.000000,0.000000,181.983599,0.000000,0.000000,181.983599,0.000000,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:02:00,1.000000,1.000000,1.000000,0.000000,181.983599,0.000000,0.000000,181.983599,0.000000,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:03:00,1.000000,1.000000,1.000000,0.000000,181.983599,0.000000,0.000000,181.983599,0.000000,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:04:00,1.000000,1.000000,1.000000,0.000000,181.983599,0.000000,0.000000,181.983599,0.000000,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:05:00,1.000000,1.000000,1.000000,0.000000,181.983599,0.000000,0.000000,181.983599,0.000000,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:06:00,1.000000,1.000000,1.000000,0.000000,181.983599,0.000000,0.000000,181.983599,0.000000,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:07:00,1.000000,1.000000,1.000000,0.000000,181.983599,0.000000,0.000000,181.983599,0.000000,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:08:00,1.000000,1.000000,1.000000,0.000000,181.983599,0.000000,0.000000,181.983599,0.000000,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:09:00,1.000000,1.000000,1.000000,0.000000,181.983599,0.000000,0.000000,181.983599,0.000000,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
2013-01-01 00:10:00,1.000000,1.000000,1.000000,0.000000,181.983599,0.000000,0.000000,181.983599,0.000000,0.000000,0.000000,6000000.000000,0.000000,0.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,6000000.000000,10.000000,0.000000,0.000000,-0.000000
